neologisme,influencia ,context,distractor,incorrecte_1,incorrecte_2
quinto,no,Comença a fer calor i sortir de tapes i un <mask> de cervesa és una de les millors alternatives primaverals.,got,glop,refresc
fangoteràpia,no,"Igualment podran fer ús de totes les instal·lacions del balneari, que disposa, entre altres serveis, de banys termals, hidromassatges, sauna, massatge i <mask>, tractament en què s'apliquen fangs minerals calents sobre la pell. ",fisioteràpia,estètica,vapor
velcro,no,"La instal·lació consisteix a fixar la cortina al marc de la porta amb <mask> per poder-la treure i posar fàcilment, o fins i tot amb un imant.",cremallera,cordons,pintura
mutar,no,"Un virus amb tendència a <mask> és més difícil de combatre. El virus que causa la pneumònia atípica pertany a la família dels coronavirus, que també causa el refredat benigne.",evolucionar,desaparèixer,menjar
prepagament,no,Una part de l’ajut es concedirà amb targetes de <mask> per gastar en comerços i negocis de Solsona. ,crèdit,regal,transport
perinatal,no,Altres problemes que els nens de la mare fumadora poden patir és una mortalitat <mask> més alta i el doble d’incidències de malformacions.,infantil,natural,escolar
homoparentals,no,"Així com la possibilitat de nous tipus de famílies, com les monoparentals o les <mask>.",biparentals,nombroses,industrals
postedició,no,"Una pràctica encara pitjor són les traduccions automàtiques amb <mask>… Encara no són gens fiables, oi?",correcció,autoaprenentatge,lectura
ruralitat,no,"Soc una persona eminentment urbana que no ha entès mai l’essència de la ____, però hi aspiro tot i ser conscient que soc un animal d’asfalt.",pagesia,campanya,distància
festius,no,"No es registren grans diferències entre els feiners i els <mask>, malgrat que és cert que els dissabtes i els diumenges hi ha més visitades a la tarda.",lliures,laborables,dilluns
expats,sí,"Encara no he obert aquesta fase, però ja m’angoixa pensar com m’ho faré per pagar una habitació a la Barcelona dels turistes i els <mask> i els locals de brunch.",forasters,immigrants,ciutadans
backstage,sí,"Hem vist com envellia la cara del músic, ens hem ficat pels estudis d’enregistrament, l’hem vist assajant i ens hem perdut pel <mask> de l’escenari.",vestíbul,camerino,taller
software,sí,"Es pot visitar fins demà i és un passadís construït mitjançant mòduls de bioplàstic impresos en 3D, generats a través d’un <mask> que fa servir un sistema paramètric.",algoritme,hardware,compost
mainstream,sí,"Molts artistes apareixen i desapareixen, i si no ets en el <mask> no tens res a fer.",mercat,escenari,estil
gamers,sí,"En aquesta edició, els <mask> podran gaudir de més de 100 punts de joc, a més de xerrades, formacions i mentories.",usuaris,assistents,experts
queer,sí,"Tot i així, crec que si no hi ha banderes LGTBIQ+ als concerts és perquè les persones <mask> ja no hem d'estar remarcant i reivindicant tota l'estona que ho som.",activistes,joves,digitals
boomers,sí,"Això m'ha permès fer un salt generacional, atès que els <mask> valorem unes coses que per als joves no tenen cap interès. ",adults,conservadors,professors
target,sí,"Seriosament, crec que el problema és intentar fer música pensant en un <mask> determinat, perquè llavors estaria fent un producte, i no música.",market,gènere,disc
streaming,sí,"Podreu seguir aquesta sessió en línia per <mask>, us hi podeu inscriure a través d’aquest enllaç.",vídeo,link,mail
background,sí,"Les respostes a totes aquestes qüestions depenen segurament de l’experiència personal com a usuaris de les xarxes, del <mask>, l’edat i altres factors.",comportament,post,telèfon
